agency_cd,site_no,datetime,Mean Water Temp (C),Mean Water Temp (C)_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,,,,,,,,,
USGS,1104405,5/18/2023,12.7,P,342,P,,,,,,,,,,,,,,
USGS,1104405,5/19/2023,13.3,P,344,P,,,,,,,,,,,,,,
USGS,1104405,5/20/2023,14,P,330,P,,,,,,,,,,,,,,
USGS,1104405,5/21/2023,15.9,P,242,P,,,,,,,,,,,,,,
USGS,1104405,5/22/2023,15.4,P,262,P,,,,,,,,,,,,,,
USGS,1104405,5/23/2023,13.9,P,283,P,,,,,,,,,,,,,,
USGS,1104405,5/24/2023,14.1,P,298,P,,,,,,,,,,,,,,
USGS,1104405,5/25/2023,14.5,P,308,P,,,,,,,,,,,,,,
USGS,1104405,5/26/2023,13.8,P,316,P,,,,,,,,,,,,,,
USGS,1104405,5/27/2023,14.6,P,326,P,,,,,,,,,,,,,,
USGS,1104405,5/28/2023,16.6,P,332,P,,,,,,,,,,,,,,
USGS,1104405,5/29/2023,17.6,P,341,P,,,,,,,,,,,,,,
USGS,1104405,5/30/2023,15.8,P,347,P,,,,,,,,,,,,,,
USGS,1104405,5/31/2023,15.8,P,351,P,,,,,,,,,,,,,,
USGS,1104405,6/1/2023,16.6,P,353,P,,,,,,,,,,,,,,
USGS,1104405,6/2/2023,17.7,P,369,P,,,,,,,,,,,,,,
USGS,1104405,6/3/2023,15,P,281,P,,,,,,,,,,,,,,
USGS,1104405,6/4/2023,12.6,P,296,P,,,,,,,,,,,,,,
USGS,1104405,6/5/2023,13,P,310,P,,,,,,,,,,,,,,
USGS,1104405,6/6/2023,14.4,P,315,P,,,,,,,,,,,,,,
USGS,1104405,6/7/2023,14.7,P,325,P,,,,,,,,,,,,,,
USGS,1104405,6/8/2023,14.4,P,328,P,,,,,,,,,,,,,,
USGS,1104405,6/9/2023,14.5,P,336,P,,,,,,,,,,,,,,
USGS,1104405,6/10/2023,14.2,P,310,P,,,,,,,,,,,,,,
USGS,1104405,6/11/2023,15.3,P,313,P,,,,,,,,,,,,,,
USGS,1104405,6/12/2023,17.2,P,323,P,,,,,,,,,,,,,,
USGS,1104405,6/13/2023,17.8,P,328,P,,,,,,,,,,,,,,
USGS,1104405,6/14/2023,18,P,336,P,,,,,,,,,,,,,,
USGS,1104405,6/15/2023,17.6,P,326,P,,,,,,,,,,,,,,
USGS,1104405,6/16/2023,17.9,P,333,P,,,,,,,,,,,,,,
USGS,1104405,6/17/2023,17,P,335,P,,,,,,,,,,,,,,
USGS,1104405,6/18/2023,16,P,297,P,,,,,,,,,,,,,,
USGS,1104405,6/19/2023,16,P,307,P,,,,,,,,,,,,,,
USGS,1104405,6/20/2023,15.9,P,322,P,,,,,,,,,,,,,,
USGS,1104405,6/21/2023,16.5,P,333,P,,,,,,,,,,,,,,
USGS,1104405,6/22/2023,17.2,P,343,P,,,,,,,,,,,,,,
USGS,1104405,6/23/2023,17.7,P,351,P,,,,,,,,,,,,,,
USGS,1104405,6/24/2023,18.6,P,356,P,,,,,,,,,,,,,,
USGS,1104405,6/25/2023,19.6,P,363,P,,,,,,,,,,,,,,
USGS,1104405,6/26/2023,20.3,P,365,P,,,,,,,,,,,,,,
USGS,1104405,6/27/2023,19.8,P,358,P,,,,,,,,,,,,,,
USGS,1104405,6/28/2023,19.7,P,346,P,,,,,,,,,,,,,,
USGS,1104405,6/29/2023,19.4,P,241,P,,,,,,,,,,,,,,
USGS,1104405,6/30/2023,19.6,P,273,P,,,,,,,,,,,,,,
USGS,1104405,7/1/2023,19.7,P,296,P,,,,,,,,,,,,,,
USGS,1104405,7/2/2023,18.6,P,302,P,,,,,,,,,,,,,,
USGS,1104405,7/3/2023,18.6,P,242,P,,,,,,,,,,,,,,
USGS,1104405,7/4/2023,18.9,P,250,P,,,,,,,,,,,,,,
USGS,1104405,7/5/2023,20.1,P,260,P,,,,,,,,,,,,,,
USGS,1104405,7/6/2023,21.2,P,281,P,,,,,,,,,,,,,,
USGS,1104405,7/7/2023,22,P,305,P,,,,,,,,,,,,,,
USGS,1104405,7/8/2023,21.7,P,323,P,,,,,,,,,,,,,,
USGS,1104405,7/9/2023,21,P,336,P,,,,,,,,,,,,,,
USGS,1104405,7/10/2023,19.7,P,310,P,,,,,,,,,,,,,,
USGS,1104405,7/11/2023,20.4,P,263,P,,,,,,,,,,,,,,
USGS,1104405,7/12/2023,21.2,P,284,P,,,,,,,,,,,,,,
USGS,1104405,7/13/2023,21.3,P,307,P,,,,,,,,,,,,,,
USGS,1104405,7/14/2023,20.3,P,313,P,,,,,,,,,,,,,,
USGS,1104405,7/15/2023,21.4,P,322,P,,,,,,,,,,,,,,
USGS,1104405,7/16/2023,21.1,P,304,P,,,,,,,,,,,,,,
USGS,1104405,7/17/2023,21.9,P,260,P,,,,,,,,,,,,,,
USGS,1104405,7/18/2023,21.6,P,284,P,,,,,,,,,,,,,,
USGS,1104405,7/19/2023,21,P,303,P,,,,,,,,,,,,,,
USGS,1104405,7/20/2023,20.5,P,318,P,,,,,,,,,,,,,,
USGS,1104405,7/21/2023,19.5,P,326,P,,,,,,,,,,,,,,
USGS,1104405,7/22/2023,19.8,P,293,P,,,,,,,,,,,,,,
USGS,1104405,7/23/2023,19.9,P,317,P,,,,,,,,,,,,,,
USGS,1104405,7/24/2023,19.9,P,334,P,,,,,,,,,,,,,,
USGS,1104405,7/25/2023,20,P,342,P,,,,,,,,,,,,,,
USGS,1104405,7/26/2023,20.5,P,337,P,,,,,,,,,,,,,,
USGS,1104405,7/27/2023,21.2,P,349,P,,,,,,,,,,,,,,
USGS,1104405,7/28/2023,21.9,P,354,P,,,,,,,,,,,,,,
USGS,1104405,7/29/2023,21.9,P,324,P,,,,,,,,,,,,,,
USGS,1104405,7/30/2023,20,P,220,P,,,,,,,,,,,,,,
USGS,1104405,7/31/2023,18.8,P,261,P,,,,,,,,,,,,,,
USGS,1104405,8/1/2023,18.4,P,292,P,,,,,,,,,,,,,,
USGS,1104405,8/2/2023,17.2,P,313,P,,,,,,,,,,,,,,
USGS,1104405,8/3/2023,18,P,330,P,,,,,,,,,,,,,,
USGS,1104405,8/4/2023,18.5,P,341,P,,,,,,,,,,,,,,
USGS,1104405,8/5/2023,19.8,P,345,P,,,,,,,,,,,,,,
USGS,1104405,8/6/2023,18.9,P,356,P,,,,,,,,,,,,,,
USGS,1104405,8/7/2023,18.2,P,362,P,,,,,,,,,,,,,,
USGS,1104405,8/8/2023,20.2,P,209,P,,,,,,,,,,,,,,
USGS,1104405,8/9/2023,20.9,P,162,P,,,,,,,,,,,,,,
USGS,1104405,8/10/2023,19.9,P,200,P,,,,,,,,,,,,,,
USGS,1104405,8/11/2023,20,P,204,P,,,,,,,,,,,,,,
USGS,1104405,8/12/2023,19.2,P,229,P,,,,,,,,,,,,,,
USGS,1104405,8/13/2023,20.2,P,254,P,,,,,,,,,,,,,,
USGS,1104405,8/14/2023,19.7,P,266,P,,,,,,,,,,,,,,
USGS,1104405,8/15/2023,19.2,P,256,P,,,,,,,,,,,,,,
USGS,1104405,8/16/2023,18.6,P,250,P,,,,,,,,,,,,,,
USGS,1104405,8/17/2023,18.3,P,260,P,,,,,,,,,,,,,,
USGS,1104405,8/18/2023,19.3,P,210,P,,,,,,,,,,,,,,
USGS,1104405,8/19/2023,18.3,P,187,P,,,,,,,,,,,,,,
USGS,1104405,8/20/2023,18.4,P,220,P,,,,,,,,,,,,,,
USGS,1104405,8/21/2023,18.9,P,248,P,,,,,,,,,,,,,,
USGS,1104405,8/22/2023,18.7,P,250,P,,,,,,,,,,,,,,
USGS,1104405,8/23/2023,17.3,P,265,P,,,,,,,,,,,,,,
USGS,1104405,8/24/2023,17.2,P,283,P,,,,,,,,,,,,,,
USGS,1104405,8/25/2023,17.6,P,202,P,,,,,,,,,,,,,,
USGS,1104405,8/26/2023,19.2,P,189,P,,,,,,,,,,,,,,
USGS,1104405,8/27/2023,18.8,P,215,P,,,,,,,,,,,,,,
USGS,1104405,8/28/2023,18.2,P,236,P,,,,,,,,,,,,,,
USGS,1104405,8/29/2023,18.3,P,240,P,,,,,,,,,,,,,,
USGS,1104405,8/30/2023,19.2,P,214,P,,,,,,,,,,,,,,
USGS,1104405,8/31/2023,17.9,P,218,P,,,,,,,,,,,,,,
USGS,1104405,9/1/2023,16.2,P,233,P,,,,,,,,,,,,,,
USGS,1104405,9/2/2023,16.6,P,247,P,,,,,,,,,,,,,,
USGS,1104405,9/3/2023,18.1,P,258,P,,,,,,,,,,,,,,
USGS,1104405,9/4/2023,18.7,P,266,P,,,,,,,,,,,,,,
USGS,1104405,9/5/2023,19.1,P,272,P,,,,,,,,,,,,,,
USGS,1104405,9/6/2023,19.8,P,280,P,,,,,,,,,,,,,,
USGS,1104405,9/7/2023,20.5,P,286,P,,,,,,,,,,,,,,
USGS,1104405,9/8/2023,20.2,P,284,P,,,,,,,,,,,,,,
USGS,1104405,9/9/2023,20,P,264,P,,,,,,,,,,,,,,
USGS,1104405,9/10/2023,19.9,P,239,P,,,,,,,,,,,,,,
USGS,1104405,9/11/2023,20.3,P,199,P,,,,,,,,,,,,,,
USGS,1104405,9/12/2023,20.1,P,217,P,,,,,,,,,,,,,,
USGS,1104405,9/13/2023,19.6,P,228,P,,,,,,,,,,,,,,
USGS,1104405,9/14/2023,18.9,P,220,P,,,,,,,,,,,,,,
USGS,1104405,9/15/2023,17,P,231,P,,,,,,,,,,,,,,
USGS,1104405,9/16/2023,16.3,P,246,P,,,,,,,,,,,,,,
USGS,1104405,9/17/2023,16.4,P,257,P,,,,,,,,,,,,,,
USGS,1104405,9/18/2023,16.8,P,236,P,,,,,,,,,,,,,,
USGS,1104405,9/19/2023,17.3,P,142,P,,,,,,,,,,,,,,
USGS,1104405,9/20/2023,16.6,P,181,P,,,,,,,,,,,,,,
USGS,1104405,9/21/2023,15.6,P,220,P,,,,,,,,,,,,,,
USGS,1104405,9/22/2023,14.9,P,247,P,,,,,,,,,,,,,,
USGS,1104405,9/23/2023,13.9,P,260,P,,,,,,,,,,,,,,
USGS,1104405,9/24/2023,14.7,P,265,P,,,,,,,,,,,,,,
USGS,1104405,9/25/2023,14.8,P,263,P,,,,,,,,,,,,,,
USGS,1104405,9/26/2023,14,P,262,P,,,,,,,,,,,,,,
USGS,1104405,9/27/2023,12.6,P,268,P,,,,,,,,,,,,,,
USGS,1104405,9/28/2023,12.9,P,276,P,,,,,,,,,,,,,,
USGS,1104405,9/29/2023,12.8,P,269,P,,,,,,,,,,,,,,
USGS,1104405,9/30/2023,13.4,P,240,P,,,,,,,,,,,,,,
USGS,1104405,10/1/2023,13.6,P,251,P,,,,,,,,,,,,,,
USGS,1104405,10/2/2023,14.4,P,266,P,,,,,,,,,,,,,,
USGS,1104405,10/3/2023,14.2,P,277,P,,,,,,,,,,,,,,
USGS,1104405,10/4/2023,15.6,P,287,P,,,,,,,,,,,,,,
USGS,1104405,10/5/2023,16,P,292,P,,,,,,,,,,,,,,
USGS,1104405,10/6/2023,16.3,P,297,P,,,,,,,,,,,,,,
USGS,1104405,10/7/2023,16.5,P,303,P,,,,,,,,,,,,,,
USGS,1104405,10/8/2023,14.6,P,298,P,,,,,,,,,,,,,,
USGS,1104405,10/9/2023,12.7,P,293,P,,,,,,,,,,,,,,
USGS,1104405,10/10/2023,12.3,P,297,P,,,,,,,,,,,,,,
USGS,1104405,10/11/2023,12.6,P,300,P,,,,,,,,,,,,,,
USGS,1104405,10/12/2023,13,P,301,P,,,,,,,,,,,,,,
USGS,1104405,10/13/2023,12.1,P,304,P,,,,,,,,,,,,,,
USGS,1104405,10/14/2023,11.5,P,307,P,,,,,,,,,,,,,,
USGS,1104405,10/15/2023,11.6,P,310,P,,,,,,,,,,,,,,
USGS,1104405,10/16/2023,11.6,P,313,P,,,,,,,,,,,,,,
USGS,1104405,10/17/2023,11.4,P,313,P,,,,,,,,,,,,,,
USGS,1104405,10/18/2023,11.8,P,311,P,,,,,,,,,,,,,,
USGS,1104405,10/19/2023,12.4,P,311,P,,,,,,,,,,,,,,
USGS,1104405,10/20/2023,12.4,P,313,P,,,,,,,,,,,,,,
